Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped
Houses Of The Holy,4:02,Led Zeppelin,4/1/2019,123,12/26/2020,9,12/10/2020
How Long,3:17,Eagles,1/26/2019,122,1/2/2021,5,2/5/2019
Another Brick In The Wall (Part 2),3:59,Pink Floyd,1/10/2020,121,2/17/2021,35,5/13/2020
Cruisin',5:51,Smokey Robinson,6/9/2020,115,2/17/2021,2,12/20/2020
You Don't Know How It Feels ,4:49,Tom Petty,3/20/2019,115,1/2/2021,10,1/8/2021
Summer Nights,3:56,Iration,5/20/2020,112,2/17/2021,10,2/19/2021
After The Thrill Is Gone,3:57,Eagles,1/26/2019,108,1/8/2021,5,12/19/2020
After Hours Blues,3:58,Eric Clapton,9/11/2019,107,2/17/2021,4,10/17/2020
Easy,5:14,Mac Ayres,3/20/2019,105,2/17/2021,3,10/24/2020
Memory Image,3:16,Claude Larson,6/4/2020,104,12/26/2020,7,12/7/2020
Echoes (live at Pompeii part 1),10:21,Pink Floyd,1/3/2020,104,12/7/2020,10,12/14/2020
Exodus,7:42,Bob Marley,4/3/2019,103,2/18/2021,2,3/31/2020
Searchin,4:10,Roy Ayers,6/9/2020,101,1/8/2021,2,12/8/2020
Attention Span,5:25,Rebelution,8/4/2019,95,2/17/2021,5,1/11/2021
For The Good Times,6:33,Al Green,6/9/2020,93,12/7/2020,5,12/16/2020
What They Do ,4:26,The Roots,8/30/2019,93,1/2/2021,4,11/5/2020
Sheik (2005 Remaster),4:07,ZZ Top,3/11/2020,92,2/21/2021,3,11/28/2020
Good Times Bad Times,2:46,Led Zeppelin,4/1/2019,91,12/9/2020,12,12/28/2020
Cry From The Street,5:14,David Gilmour,3/6/2020,90,12/22/2020,4,1/2/2021
Superstition,4:07,Ahmad Jamal,6/9/2020,88,12/9/2020,4,12/12/2020
Vibrations,3:04,Roy Ayers,6/21/2020,88,1/8/2021,7,1/8/2021
Time Bomb,3:11,Iration,5/20/2020,87,2/17/2021,3,11/28/2020
The Trip (1975),5:36,Bobbi Humphrey,7/14/2020,85,12/22/2020,13,1/1/2021
Short And Sweet,5:31,David Gilmour,3/6/2020,85,2/17/2021,2,11/12/2020
Pigs On The Wing 1,1:26,Pink Floyd,1/10/2020,85,1/8/2021,5,11/15/2020
Waiting For The Worms,3:57,Pink Floyd,1/10/2020,83,1/9/2021,3,12/14/2020
Badfish,3:06,Sublime,5/22/2020,83,2/17/2021,16,2/21/2021
Strange Things,2:54,B. Lewis,3/20/2019,82,12/26/2020,3,1/2/2021
One Of These Nights,4:52,Eagles,1/26/2019,82,12/29/2020,11,12/14/2020
Let Me Take You Home Tonight,4:44,Boston,4/1/2019,81,2/21/2020,10,12/28/2020
Already Gone,4:16,Eagles,1/26/2019,81,1/8/2021,8,2/12/2020
Pigs On The Wing 2,1:29,Pink Floyd,1/10/2020,81,2/18/2021,1,7/31/2020
