Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped
Smokin' Love (feat. Collie Buddz),3:37,Stick Figure,5/20/2020,11,1/8/2021,5,12/15/2020
Lonely Is the Night,4:39,Billy Squier,6/18/2019,10,11/12/2020,4,12/29/2020
Iron Lion Zion,3:16,Bob Marley,4/3/2019,10,1/3/2021,5,12/16/2020
One Love,2:56,Bob Marley,4/3/2019,10,1/10/2021,6,2/17/2021
42nd Street (A Tribute to Deodato),4:52,Gazzarra,6/9/2020,10,6/28/2020,10,12/12/2020
Park Bench (Instrumental),2:36,J Dilla,6/7/2020,10,12/20/2020,3,12/22/2020
Walk Away,3:34,The James Gang,3/14/2019,10,2/17/2021,12,1/3/2021
Alien Lyric Video #CaliRootsRiddim #MVMTVIBE,4:06,The Movement,5/20/2020,10,11/10/2020,3,11/6/2020
Eclipse,2:04,Pink Floyd,1/8/2020,10,11/12/2020,7,1/8/2021
Texas Flood,5:22,Stevie Ray Vaughan,3/20/2019,10,12/14/2020,9,11/22/2020
Summertime (feat. Citizen Cope),4:00,Stick Figure,5/20/2020,10,1/3/2021,5,12/22/2020
Taste,3:53,Tyga ft. Offset,8/30/2019,10,12/21/2020,6,11/15/2020
Jamming,3:36,Bob Marley,4/3/2019,9,12/10/2020,4,12/14/2020
Rock & Roll Band,3:01,Boston,4/1/2019,9,1/8/2021,8,1/8/2021
Distant Land,7:14,Donald Byrd,6/21/2020,9,9/23/2020,9,1/8/2021
Reminisce (Instrumental),4:37,J Dilla,6/7/2020,9,12/10/2020,5,1/2/2021
So Far To Go (Instrumental),5:37,J Dilla,6/7/2020,9,2/21/2021,3,11/18/2020
"Safari ft. Pharrell Williams, BIA, Sky",3:24,J. Balvin,8/30/2019,9,12/14/2020,4,11/19/2020
Empty Spaces,2:08,Pink Floyd,1/10/2020,9,5/13/2020,12,12/14/2020
Outside The Wall,1:46,Pink Floyd,1/10/2020,9,11/18/2020,5,2/21/2021
Burn the Night,5:18,Stick Figure,5/20/2020,9,1/1/2021,4,1/2/2021
Bumpin' On Sunset,4:49,Wes Montgomery,6/11/2020,9,6/28/2020,7,12/16/2020
Get Up Stand Up,3:22,Bob Marley,4/3/2019,8,2/17/2021,12,12/28/2020
Feelin' Satisfied,4:12,Boston,4/1/2019,8,12/22/2020,3,12/21/2020
Old Alabama,4:32,Brad Paisley,1/26/2019,8,9/23/2020,11,12/28/2020
Burn One (Live Acoustic) Sugarshack Sessions,4:53,Fortunate Youth,6/1/2020,8,12/23/2020,4,11/15/2020
"For the Love of You, Pts. 1 & 2 ",5:39,The Isley Brothers,6/5/2020,8,6/28/2020,8,12/15/2020
Crushing [Instrumental],3:40,J Dilla,6/7/2020,8,11/25/2020,6,12/20/2020
Think Twice (Instrumental),3:36,J Dilla,6/7/2020,8,12/20/2020,1,12/12/2020
Brain Damage,3:51,Pink Floyd,1/8/2020,8,12/8/2020,1,01/01/1000
Treasure,5:45,Roy Ayers,6/21/2020,8,11/11/2020,6,12/20/2020
SWISH,3:15,Tyga,8/30/2019,8,12/8/2020,3,12/14/2020
Could You Be Loved,4:00,Bob Marley,4/3/2019,7,12/10/2020,9,1/1/2021
Magenta Riddim,3:58,DJ Snake,8/30/2019,7,11/22/2020,5,12/7/2020
Barracuda (1977),4:24,Heart,3/14/2019,7,11/18/2020,9,12/14/2020
Hotting Up,3:41,Iration,5/20/2020,7,5/28/2020,3,12/19/2020
Vibeout,2:25,J Dilla,6/7/2020,7,11/25/2020,7,12/28/2020
Night Flight,3:38,Led Zeppelin,4/1/2019,7,11/12/2020,14,1/8/2021
Royal Orleans,2:58,Led Zeppelin,4/1/2019,7,5/21/2019,9,12/28/2020
Don't ask me no questions,3:26,Lynyrd Skynyrd,3/20/2019,7,12/23/2020,10,12/20/2020
Above the Storm,4:55,Stick Figure,5/20/2020,7,1/1/2021,6,12/26/2020
Choice is Yours (feat. Slightly Stoopid),5:06,Stick Figure,5/20/2020,7,11/18/2020,6,12/21/2020
Fire On The Horizon,5:28,Stick Figure,5/20/2020,7,11/11/2020,4,12/20/2020
Sound of the Sea,5:29,Stick Figure,5/20/2020,7,5/28/2020,8,1/2/2021
Buffalo Soldier,4:21,Bob Marley,4/3/2019,6,1/7/2021,8,12/22/2020
New York Times (1974),6:58,Bobbi Humphrey,7/14/2020,6,11/22/2020,9,12/28/2020
Peace Of Mind,5:02,Boston,4/1/2019,6,12/20/2020,4,1/2/2021
So Far Away,10:58,The Crusaders feat. Larry Carlton,7/14/2020,6,2/18/2021,5,12/28/2020
Heartbreaker,7:24,Led Zeppelin,4/1/2019,6,12/21/2020,15,1/8/2021
Rock And Roll,3:41,Led Zeppelin,4/1/2019,6,1/1/2021,8,1/3/2021
I Ain't the One (studio version),3:58,Lynyrd Skynyrd,3/20/2019,6,11/18/2020,4,11/12/2020
Don't Look Back,6:01,Boston,4/1/2019,5,11/22/2020,8,1/7/2021
Don't Be Afraid,3:49,Boston,4/1/2019,5,11/11/2020,5,12/2/2020
Change The World,3:58,Eric Clapton,4/3/2019,5,3/12/2020,9,12/26/2020
Sweet Sensi (RAW Live Acoustic) Sugarshack Sessions,6:22,Fortunate Youth,6/1/2020,5,12/16/2020,5,12/28/2020
Warm Waters,3:52,Iration,5/20/2020,5,11/15/2020,8,1/1/2021
All Your Love,3:37,John Mayall,9/13/2019,5,12/20/2020,7,11/15/2020
We're Gonna Groove,2:39,Led Zeppelin,4/1/2019,5,8/25/2019,14,12/10/2020
Bring It On Home,4:22,Led Zeppelin,4/1/2019,5,12/18/2020,6,2/17/2021
Flying High Again,4:44,Ozzy Osbourne,6/18/2019,5,12/2/2020,4,12/18/2020
On The Run,3:33,Pink Floyd,1/8/2020,5,5/13/2020,10,12/29/2020
The Journey,1:44,Boston,4/1/2019,4,12/2/2020,11,12/26/2020
Te Bote Remix,7:03,"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna",8/30/2019,4,12/7/2020,15,2/17/2021
One Love (Live Acoustic) Sugarshack Sessions,5:04,Fortunate Youth,6/1/2020,4,1/8/2021,3,12/20/2020
Mi Gente,3:06,"J Balvin, Willy William",8/30/2019,4,2/8/2020,5,12/23/2020
Walter's Walk,4:31,Led Zeppelin,4/1/2019,4,4/17/2019,11,12/21/2020
Dancing Days,3:42,Led Zeppelin,4/1/2019,4,4/3/2019,13,1/7/2021
Since I've Been Loving You,8:02,Led Zeppelin,4/1/2019,4,5/20/2019,14,1/10/2021
Communication Breakdown,2:28,Led Zeppelin,4/1/2019,4,12/2/2020,7,12/14/2020
Living Loving Maid (She's Just A Woman),2:39,Led Zeppelin,4/1/2019,4,12/16/2020,9,12/21/2020
Tangerine,3:11,Led Zeppelin,4/1/2019,4,2/17/2021,5,12/10/2020
Going To California,3:32,Led Zeppelin,4/1/2019,4,12/22/2020,7,12/12/2020
Kashmir,8:28,Led Zeppelin,4/1/2019,4,12/7/2020,16,12/17/2020
You Shook Me All Night Long ,3:30,AC/DC,1/26/2019,3,12/22/2020,9,12/28/2020
Is This Love,3:54,Bob Marley,4/3/2019,3,11/18/2020,9,1/5/2021
More Than A Feeling,4:45,Boston,4/1/2019,3,12/7/2020,7,12/14/2020
Hitch A Ride,4:12,Boston,4/1/2019,3,4/8/2019,10,12/7/2020
Something About You,3:48,Boston,4/1/2019,3,1/1/2021,7,12/16/2020
Used To Bad News,2:57,Boston,4/1/2019,3,11/11/2020,10,2/17/2021
Ozone Baby,3:36,Led Zeppelin,4/1/2019,3,12/14/2020,6,12/28/2020
Dancing Days,3:46,Led Zeppelin,4/1/2019,3,4/13/2019,15,12/28/2020
Black Dog,5:40,Led Zeppelin,4/1/2019,3,12/14/2020,10,12/26/2020
All My Love,5:50,Led Zeppelin,4/1/2019,3,10/8/2020,10,2/17/2021
Heartbreaker,4:14,Led Zeppelin,4/1/2019,3,4/6/2019,8,1/8/2021
Immigrant Song,2:26,Led Zeppelin,4/1/2019,3,12/23/2020,10,1/10/2021
Since I've Been Loving You,7:23,Led Zeppelin,5/17/2019,3,12/16/2020,7,2/18/2021
When The Levee Breaks,7:10,Led Zeppelin,4/1/2019,3,11/12/2020,6,12/19/2020
Boogie With Stu,3:53,Led Zeppelin,4/1/2019,3,10/26/2020,7,12/17/2020
Sick Again,4:45,Led Zeppelin,4/1/2019,3,8/11/2019,14,2/17/2021
Achilles Last Stand,10:23,Led Zeppelin,4/1/2019,3,4/13/2019,8,1/1/2021
Candy Store Rock,4:09,Led Zeppelin,4/1/2019,3,4/12/2019,9,12/7/2020
Tea For One,9:26,Led Zeppelin,4/1/2019,3,11/18/2020,6,11/18/2020
Sheep,10:19,Pink Floyd,1/10/2020,3,12/21/2020,3,12/7/2020
The Great Gig In The Sky,4:44,Pink Floyd,1/8/2020,3,5/13/2020,6,11/22/2020
Welcome to the Machine,7:27,Pink Floyd,1/10/2020,3,12/7/2020,8,2/17/2021
Three Little Birds,3:04,Bob Marley,4/3/2019,2,11/15/2020,9,12/16/2020
Against the Wind,5:41,Bob Seger & The Silver Bullet Band,1/26/2019,2,8/13/2019,9,1/11/2021
Susie Q,8:30,Creedence Clearwater Revival,9/11/2019,2,12/7/2020,11,11/14/2020
Little Girl,2:37,John Mayall,9/13/2019,2,11/19/2020,9,12/26/2020
Double Crossing Time,3:04,John Mayall,9/13/2019,2,9/23/2020,8,12/22/2020
I Can't Quit You Baby,4:18,Led Zeppelin,4/1/2019,2,4/12/2019,6,12/14/2020
Hot Dog,3:16,Led Zeppelin,4/1/2019,2,5/29/2019,7,12/21/2020
Thank You,4:48,Led Zeppelin,4/1/2019,2,4/26/2019,7,9/23/2020
Bring The Boys Back Home,1:27,Pink Floyd,1/10/2020,2,1/14/2020,3,1/1/2021
Nobody Home,3:23,Pink Floyd,1/10/2020,2,2/19/2020,11,1/2/2021
There Anybody Out There,2:42,Pink Floyd,1/10/2020,2,2/19/2020,12,12/21/2020
Vera,1:33,Pink Floyd,1/10/2020,2,11/10/2020,6,12/28/2020
Tush,2:18,ZZ Top,9/11/2019,2,12/10/2020,15,2/21/2021
Wonderful Tonight,3:42,Eric Clapton,4/3/2019,1,4/5/2019,12,12/16/2020
Darlene,4:58,Led Zeppelin,4/1/2019,1,4/3/2019,13,1/3/2021
Wearing And Tearing,5:31,Led Zeppelin,4/1/2019,1,4/5/2019,7,12/14/2020
The Crunge,3:15,Led Zeppelin,4/1/2019,1,4/13/2019,9,12/26/2020
Immigrant Song,3:42,Led Zeppelin,4/1/2019,1,4/1/2019,13,11/13/2020
In The Evening,6:50,Led Zeppelin,4/1/2019,1,8/11/2019,10,1/8/2021
Four Sticks,4:40,Led Zeppelin,4/1/2019,1,4/5/2019,12,12/19/2020
I Don't Know (Remastered),5:17,Ozzy Osbourne,6/18/2019,1,1/15/2020,7,12/20/2020
Dogs,17:05,Pink Floyd,1/10/2020,1,1/12/2020,8,12/26/2020
Stairway To Heaven,8:01,Led Zeppelin,4/1/2019,0,01/01/1000,16,1/2/2021
In The Light,8:43,Led Zeppelin,4/10/2019,0,01/01/1000,10,12/23/2020
